Fruit,Density (g/cm3),Note(1 cup):
Apple,0.53,chopped
Orange,0.76,sections
Apricot,0.7,sliced
Avocado,0.63,cubes
Banana,0.63,sliced
Blueberry,0.62,not specified
Cactus Fruit,0.63,not specified
Cantaloupe,0.66,not specified
Carambola,0.56,cubes
Cherry,0.65,pitted
Grape,0.64,not specified
Grapefruit,1.04,not specified
Guava,0.7,common
Huckleberry,0.61,not specified
Kiwi,0.75,not specified
Lemon,0.9,sections
Lychee,0.8,not specified
Mandarine,0.82,sections
Mango,0.7,sliced
Celery,0.52,strips
Mulberry,0.59,not specified
Nectarine,0.6,sliced
Papaya,0.97,mashed
Passion Fruit,1,not specified
Peach,0.71,diced
Pear,0.63,sliced or cubed
Tomatillo,0.56,chopped
Pineapple,0.7,chunked
Plum,0.7,sliced
Pomegranate,0.74,not specified
Pomelo,0.8,sections
Raspberry,0.52,not specified
Cranberry,0.46,chopped
Durian,1.03,chopped or diced
Strawberry,0.7,sliced
Tangelo,1.03,sections
Tomato,0.76,not specified
Cherry tomato,0.63,not specified
Blackberry,0.61,not specified
